,reservation_id,copy_id,position_in_queue
391,192,4851,1
392,193,3296,1
393,193,2535,1
394,193,48,1
395,194,4035,1
396,194,4454,1
397,195,577,1
398,196,3853,1
399,196,2334,1
400,197,3143,1
401,197,141,1
402,198,1039,1
403,198,2180,2
404,198,191,1
405,199,2855,1
406,200,3352,1
407,200,3716,1
408,201,3193,1
409,201,2623,1
410,201,3847,1
411,202,4671,1
412,202,3334,1
413,202,2932,1
414,203,4356,1
415,203,2990,1
416,203,765,1
417,204,1397,1
418,204,389,1
419,204,2068,1
420,205,389,2
421,206,4273,1
422,206,4257,1
423,207,2938,1
424,207,352,1
425,208,3556,2
426,209,3786,1
427,210,4844,1
428,210,1579,1
429,210,2275,1
430,211,4303,1
431,211,1483,1
432,211,2590,1
433,212,3047,1
434,213,1011,1
435,213,4790,1
436,214,79,1
437,215,908,1
438,216,4794,1
439,216,1676,1
440,217,4526,1
441,218,1177,1
442,219,3472,1
443,220,558,1
444,221,3129,2
445,221,4962,1
446,222,875,1
447,222,3073,1
448,223,358,1
449,223,657,1
450,223,201,1
451,224,2570,1
452,224,2162,1
453,224,1229,1
454,225,925,1
455,226,1117,1
456,226,2672,2
457,227,3523,1
458,227,1617,1
459,227,3415,1
460,228,2831,1
461,228,3822,1
462,229,1391,1
463,230,4250,1
464,230,130,1
465,230,1106,1
466,231,3715,1
467,231,2417,1
468,232,4634,2
469,233,2963,1
470,234,2054,1
471,235,2234,1
472,235,1739,1
473,236,857,1
474,236,1641,1
475,237,315,1
476,238,2787,1
477,238,3768,1
478,238,4393,1
479,239,2090,1
480,239,2175,1
481,239,1784,1
482,240,2507,1
483,240,4828,1
484,240,3509,1
485,241,3803,1
486,242,683,1
487,243,304,1
488,243,775,1
489,244,411,1
490,245,1336,1
491,246,4517,1
492,247,2848,1
493,248,2290,1
494,248,2576,1
495,248,1570,1
496,249,2415,1
497,249,4735,1
498,250,2508,1
499,251,1168,1
500,251,3230,1
501,252,4431,1
502,252,4154,1
503,252,2657,1
504,253,4829,1
505,253,4768,1
506,254,3135,2
507,255,1454,1
508,255,4976,1
509,255,678,1
510,256,327,1
511,257,1207,1
512,257,4512,1
513,257,1944,1
514,258,3321,1
515,259,2381,1
516,260,4773,1
517,260,4847,1
518,261,331,1
519,261,138,1
520,262,231,1
521,262,1431,1
522,262,3396,1
523,263,4604,1
524,264,3217,1
525,265,1456,1
526,265,3325,1
527,266,3915,1
528,267,2718,1
529,267,357,1
530,267,3890,1
531,268,2214,1
532,268,1251,1
533,269,1745,1
534,270,1188,1
535,271,726,1
536,271,4839,1
537,272,1946,1
538,272,964,1
539,272,2791,1
540,273,2252,1
541,273,3629,1
542,274,4818,1
543,274,2683,1
544,275,4653,1
545,275,1257,1
546,275,703,1
547,276,1497,1
548,276,3026,1
549,277,3737,1
550,278,1234,1
551,278,1992,1
552,278,2490,1
553,279,2874,1
554,279,4080,1
555,280,344,1
556,280,2075,1
557,280,1913,1
558,281,1599,1
559,281,2514,1
560,282,3728,1
561,282,2646,1
562,282,2236,1
563,283,4731,1
564,283,3619,1
565,283,99,1
566,284,3018,1
567,284,1650,1
568,285,3259,1
569,285,4069,1
570,286,4425,1
571,287,2478,1
572,288,4121,2
573,289,2427,1
574,289,4678,1
575,289,4542,1
576,290,2576,2
577,291,2658,1
578,291,3984,1
579,291,1575,2
580,292,1679,1
581,292,167,1
582,292,881,1
583,293,4951,1
584,294,2105,1
585,294,4293,1
586,294,4287,1
587,295,4584,1
588,296,1928,1
589,297,3637,1
590,297,2576,3
591,298,2756,1
592,298,3067,1
593,298,2663,1
594,299,4129,1
595,299,4204,1
596,300,667,2
597,300,114,1
598,301,4738,2
599,301,3238,1
600,302,3920,1
601,302,1733,1
602,303,4049,1
603,303,4146,1
604,303,3987,1
605,304,3014,1
606,305,205,1
607,305,3419,1
608,306,1424,1
609,307,3604,2
610,307,3731,1
611,308,2319,1
612,308,1442,1
613,309,1754,2
614,309,1998,1
615,310,3077,2
616,310,1776,1
617,311,1360,1
618,311,3822,2
619,312,4852,1
620,312,4772,1
621,312,3958,1
622,313,2883,1
623,313,3421,1
624,314,499,1
625,314,2683,2
626,315,2999,1
627,315,1208,1
628,315,4312,1
629,316,68,1
630,317,2185,1
631,317,1368,1
632,317,936,1
633,318,491,1
634,318,4706,1
635,319,3561,1
636,319,4107,1
637,320,2337,1
638,321,203,1
639,321,3684,1
640,322,125,2
641,322,1338,1
642,323,2358,1
643,324,4304,1
644,324,1697,1
645,325,1024,2
646,325,3421,2
647,326,590,1
648,326,3769,1
649,327,697,1
650,327,3426,1
651,327,402,1
652,328,3353,1
653,329,725,1
654,329,4872,1
655,329,1439,2
656,330,3618,1
657,330,3264,1
658,331,266,1
659,331,3365,1
660,332,18,1
661,332,3312,1
662,332,1905,1
663,333,2167,1
664,333,4087,1
665,334,2352,1
666,334,4817,1
667,334,2137,1
668,335,4214,1
669,335,1283,1
670,336,936,2
671,336,158,1
672,336,1313,1
673,337,865,1
674,338,223,1
675,339,711,1
676,339,4266,1
677,340,2399,1
678,341,3971,1
679,341,4669,1
680,341,1271,1
681,342,4252,1
682,343,3195,2
683,343,4300,1
684,343,4938,1
685,344,1753,1
686,344,2751,1
687,345,3845,1
688,345,4230,1
689,345,980,1
690,346,909,1
691,347,3502,1
692,348,2508,2
693,349,2566,1
694,349,2184,1
695,350,3264,2
696,351,1304,1
697,351,2153,1
698,352,1499,1
699,353,2994,1
700,353,4053,1
701,353,1579,2
702,354,2065,1
703,354,3723,1
704,355,4366,1
705,356,4722,1
706,356,4600,1
707,356,4621,1
708,357,3922,1
709,357,3844,1
710,358,514,1
711,358,3579,1
712,359,25,2
713,359,4749,1
714,360,3749,1
715,360,3080,1
716,361,2626,1
717,361,3134,1
718,361,2668,1
719,362,108,1
720,362,356,1
721,362,4881,1
722,363,732,1
723,364,3347,1
724,365,1264,1
725,365,3736,1
726,365,4298,1
727,366,2469,1
728,367,2817,1
729,368,4721,1
730,368,3711,1
731,369,1740,1
732,369,834,1
733,369,1415,1
734,370,1121,1
735,371,3611,1
736,371,1694,2
737,372,2160,1
738,372,1652,1
739,372,732,2
740,373,3486,1
741,373,1227,1
742,374,1143,1
743,375,2056,1
744,376,313,1
745,376,3597,1
746,377,1801,1
747,378,4274,1
748,379,2413,2
749,380,1014,1
750,380,3912,1
751,380,296,1
752,381,3539,1
753,381,1130,1
754,381,4493,1
755,382,531,1
756,382,2266,1
757,382,1894,1
758,383,1857,1
759,384,2838,1
760,384,2783,1
761,385,12,1
762,386,3620,1
763,386,4645,1
764,387,273,1
765,387,1524,1
766,387,3873,1
767,388,710,1
768,388,286,1
769,388,1108,1
770,389,3479,1
771,389,4621,2
772,389,2755,1
773,390,4428,1
774,390,3331,1
775,390,1276,1
776,391,4030,1
777,392,3113,1
778,393,2618,1
779,393,3449,1
780,394,1320,1
781,395,3716,2
782,395,1601,1
783,395,1324,1
784,396,3065,1
785,396,939,1
786,396,3201,1
787,397,4029,1
788,397,3772,1
789,398,87,1
790,399,207,1
791,399,2382,1
792,399,1506,1
793,400,3547,1
794,401,4892,1
795,401,4486,1
796,401,540,1
797,402,695,2
798,403,75,1
799,403,2803,1
800,403,754,1
801,404,4940,1
802,404,3819,1
803,405,673,1
804,405,2142,1
805,406,3317,1
806,407,3965,1
807,408,4800,1
808,408,2993,1
809,409,2368,1
810,409,4009,1
811,409,726,2
812,410,1655,1
813,411,2471,1
814,412,900,1
815,413,3390,1
816,413,2772,1
817,413,707,1
818,414,2389,1
819,414,1305,1
820,415,2557,1
821,415,1361,2
822,416,3174,2
823,416,3883,1
824,417,1171,1
825,417,1440,1
826,418,766,1
827,418,593,1
828,419,2257,1
829,419,2559,1
830,419,3685,1
831,420,2166,1
832,420,1768,1
833,420,2386,1
834,421,1281,1
835,422,2969,1
836,423,4094,1
837,424,728,1
838,424,996,1
839,425,3921,1
840,426,4873,1
841,427,4006,1
842,427,4109,1
843,428,4741,1
844,428,3507,1
845,428,521,1
846,429,3277,1
847,429,1036,1
848,429,390,1
849,430,1877,2
850,430,1015,2
851,430,4560,1
852,431,2079,1
853,432,3519,1
854,432,3346,1
855,433,2577,1
856,433,3836,1
857,434,3852,1
858,435,453,1
859,435,3392,1
860,435,2929,1
861,436,2510,2
862,437,4372,1
863,437,2792,1
864,437,224,1
865,438,4654,1
866,439,3417,1
867,439,1627,1
868,440,2897,1
869,440,2172,1
870,440,1282,1
871,441,3626,1
872,441,1704,1
873,441,459,2
874,442,3074,1
875,442,245,1
876,443,2859,1
877,443,3601,1
878,443,3392,2
879,444,4202,1
880,444,731,1
881,445,290,1
882,446,1208,2
883,446,4830,1
884,446,4213,1
885,447,3258,1
886,447,20,1
887,448,4838,1
888,448,3248,1
889,448,3898,1
890,449,1307,1
891,449,2974,1
892,449,19,1
893,450,3624,1
894,451,4551,1
895,451,1961,1
896,452,4319,1
897,453,3890,2
898,453,4358,2
899,453,1162,1
900,454,4006,2
901,454,657,2
902,454,4352,1
903,455,675,1
904,456,4223,1
905,456,3626,2
906,457,3346,2
907,458,1725,1
908,458,1051,1
909,458,1912,1
910,459,2189,1
911,460,3253,1
912,460,4989,1
913,461,3155,1
914,461,382,1
915,462,559,1
916,462,4220,1
917,463,1706,1
918,464,3244,1
919,464,4965,2
920,464,2657,2
921,465,2511,1
922,465,3760,1
923,465,465,1
924,466,895,1
925,466,3508,1
926,467,3888,1
927,467,2122,1
928,467,1221,1
929,468,4166,2
930,469,1061,2
931,469,28,1
932,470,4346,1
933,471,971,1
934,472,2943,1
935,472,100,1
936,473,2383,1
937,473,3498,1
938,473,2728,1
939,474,437,1
940,475,4167,1
941,475,1132,1
942,475,4725,1
943,476,2331,1
944,476,76,1
945,476,648,1
946,477,1717,1
947,477,453,2
948,477,1245,2
949,478,1422,1
950,478,3044,1
951,479,3115,1
952,479,201,2
953,480,4234,1
954,480,4044,1
955,481,2504,1
956,482,218,1
957,482,19,2
958,483,3570,1
959,483,2532,1
960,483,558,2
961,484,609,1
962,484,4496,1
963,484,2254,1
964,485,1943,1
965,485,1268,1
966,485,2530,1
967,486,4426,1
968,486,1673,1
969,486,838,1
970,487,888,1
971,487,1214,1
972,487,1603,1
973,488,1195,1
974,489,162,1
975,490,3351,1
976,490,3082,1
977,491,4133,1
978,491,2718,2
979,491,2498,1
980,492,397,1
981,493,1052,1
982,493,1047,1
983,494,3892,1
984,495,211,1
985,496,3136,1
986,496,1643,1
987,497,2351,1
988,497,1930,1
989,497,2302,1
990,498,1276,2
991,499,216,1
992,500,3580,1
993,501,1643,2
994,502,3918,1
995,503,731,2
996,503,1133,1
997,504,2019,1
998,504,2949,1
999,504,3031,1
1000,505,2399,2
1001,506,2155,1
1002,507,761,1
1003,508,2273,1
1004,508,3011,1
1005,508,2407,1
1006,509,4468,1
1007,509,466,1
1008,510,4647,2
1009,510,1059,1
1010,511,2733,1
1011,511,3558,1
1012,512,3001,1
1013,512,2297,1
1014,513,3017,1
1015,513,2538,1
1016,513,1978,1
1017,514,735,1
1018,515,3690,1
1019,515,2314,1
1020,515,1805,1
1021,516,93,1
1022,516,3974,1
1023,517,1821,2
1024,517,122,1
1025,518,2429,1
1026,518,664,1
1027,519,1683,1
1028,520,1772,1
1029,520,3897,1
1030,520,698,1
1031,521,450,1
1032,522,3431,1
1033,523,1652,2
1034,523,3272,1
1035,524,794,1
1036,525,315,2
1037,525,572,1
1038,525,2054,2
1039,526,953,1
1040,527,1645,1
1041,527,4918,1
1042,527,1400,1
1043,528,2043,1
1044,528,594,1
1045,529,3713,1
1046,529,4884,1
1047,530,3843,1
1048,530,617,1
1049,531,1627,2
1050,531,3589,1
1051,531,3966,1
1052,532,855,1
1053,532,3869,1
1054,532,2876,1
1055,533,1591,1
1056,533,1077,1
1057,533,1398,1
1058,534,2077,1
1059,535,1675,1
1060,535,656,1
1061,535,41,1
1062,536,956,2
1063,537,837,1
1064,538,1472,1
1065,538,778,1
1066,539,127,1
1067,539,2155,2
1068,540,3708,1
1069,540,1021,1
1070,541,4166,3
1071,541,2442,1
1072,542,4063,1
1073,542,4372,2
1074,542,1802,1
1075,543,2046,1
1076,544,4180,1
1077,544,4421,1
1078,545,862,1
1079,545,347,1
1080,546,4964,1
1081,547,725,2
1082,547,706,1
1083,548,2434,1
1084,548,4936,1
1085,549,1457,1
1086,549,805,1
1087,550,4268,1
1088,551,4886,1
1089,551,393,1
1090,551,1534,1
1091,552,443,1
1092,553,1041,1
1093,553,3506,1
1094,554,2839,1
1095,554,2535,2
1096,554,810,1
1097,555,1229,2
1098,555,897,1
1099,556,4191,1
1100,557,4139,1
1101,557,4031,1
1102,558,3990,1
1103,558,4665,1
1104,558,1255,1
1105,559,3413,1
1106,559,4070,1
1107,559,1888,1
1108,560,283,1
1109,560,3044,2
1110,560,1949,1
1111,561,3777,1
1112,561,4463,1
1113,561,4846,1
1114,562,4867,4
1115,563,2065,2
1116,563,3564,1
1117,564,3961,1
1118,565,2517,1
1119,565,4698,1
1120,565,563,1
1121,566,3476,1
1122,566,2435,1
1123,567,4202,2
1124,567,1997,1
1125,568,1749,1
1126,569,1644,1
1127,569,2229,1
1128,570,4032,1
1129,570,1928,2
1130,570,5000,1
1131,571,2054,3
1132,572,2726,1
1133,572,154,1
1134,573,3794,1
1135,574,154,2
1136,574,1760,1
1137,575,1439,3
1138,575,3950,1
1139,575,2265,1
1140,576,4452,1
1141,576,4832,1
1142,576,2839,2
1143,577,3146,2
1144,577,4894,1
1145,578,3096,1
1146,578,4303,2
1147,578,2436,2
1148,579,225,1
1149,579,3942,1
1150,579,1031,1
1151,580,1914,1
1152,580,1888,2
1153,580,41,2
1154,581,1343,1
1155,581,658,1
1156,582,200,1
1157,582,4804,1
1158,582,4335,1
1159,583,2818,1
1160,583,2427,2
1161,584,2278,1
1162,584,1988,1
1163,584,1233,1
1164,585,2697,2
1165,585,4757,1
1166,586,1462,2
1167,587,3745,1
1168,587,3587,1
1169,587,3311,1
1170,588,3698,1
1171,588,480,1
1172,588,4011,1
1173,589,2234,2
1174,589,11,1
1175,590,3484,1
1176,590,1490,1
1177,590,2584,2
1178,591,2594,1
1179,591,508,1
1180,591,3372,1
1181,592,2546,1
1182,592,4114,1
1183,593,3331,2
1184,593,3671,1
1185,593,1330,1
1186,594,214,1
1187,594,1688,1
1188,594,1041,2
1189,595,1632,1
1190,595,4690,1
1191,596,3924,1
1192,596,1000,1
1193,597,4109,2
1194,598,4056,1
1195,598,1331,1
1196,598,2496,1
1197,599,753,1
1198,600,1225,1
1199,600,4646,1
1200,601,851,2
1201,602,2690,1
1202,603,4139,2
1203,603,4600,2
1204,604,1663,1
1205,604,1868,1
1206,604,3523,2
1207,605,3028,1
1208,605,184,1
1209,606,2661,1
1210,606,4730,1
1211,606,1334,1
1212,607,1708,1
1213,608,4239,1
1214,609,4507,1
1215,610,2353,1
1216,610,3063,1
1217,611,2305,1
1218,611,1330,2
1219,611,38,1
1220,612,3420,1
1221,612,2522,1
1222,613,1411,1
1223,613,3358,1
1224,614,4882,1
1225,614,2426,1
1226,614,4808,1
1227,615,4109,3
1228,616,4897,1
1229,616,4286,1
1230,617,1216,1
1231,618,3609,1
1232,618,2,1
1233,619,4488,1
1234,620,2129,1
1235,620,2872,1
1236,621,223,2
1237,621,2712,1
1238,622,2642,1
1239,622,3429,1
1240,623,2589,1
1241,623,1556,1
1242,624,2874,2
1243,624,988,1
1244,624,2730,1
1245,625,2086,1
1246,625,80,1
1247,626,2209,1
1248,627,4702,1
1249,628,4147,1
1250,628,2057,1
1251,628,64,1
1252,629,4445,1
1253,629,2253,1
1254,630,3722,1
1255,630,4642,2
1256,631,4190,1
1257,632,790,1
1258,632,3572,1
1259,633,3066,1
1260,633,3628,2
1261,634,2377,1
1262,635,3896,1
1263,635,3622,1
1264,636,688,1
1265,636,3219,1
1266,636,2257,2
1267,637,750,1
1268,637,1189,1
1269,637,278,1
1270,638,529,1
1271,639,3223,1
1272,640,3573,2
1273,641,1676,2
1274,641,1234,2
1275,642,1803,1
1276,642,1720,1
1277,642,1077,2
1278,643,667,3
1279,643,2340,1
1280,644,684,1
1281,645,2925,1
1282,645,601,1
1283,645,744,1
1284,646,186,1
1285,646,2721,1
1286,646,382,2
1287,647,1125,1
1288,648,2912,2
1289,648,4310,1
1290,648,2716,1
1291,649,4659,1
1292,649,3837,1
1293,649,347,2
1294,650,606,1
1295,650,147,1
1296,650,4463,2
1297,651,150,1
1298,652,1094,1
1299,653,945,1
1300,654,1832,1
1301,654,4375,1
1302,655,4245,1
1303,655,3859,1
1304,656,3856,1
1305,656,4399,1
1306,656,1510,1
1307,657,4582,1
1308,658,2595,1
1309,659,4566,1
1310,660,3546,1
1311,661,1285,1
1312,661,3548,1
1313,662,384,1
1314,662,4326,1
1315,663,382,3
1316,663,2217,1
1317,664,4756,1
1318,665,298,1
1319,665,1976,1
1320,666,3561,2
1321,666,4787,1
1322,667,3100,1
1323,668,4141,2
1324,668,3943,1
1325,669,4187,2
1326,669,1631,1
1327,669,2129,2
1328,670,1291,1
1329,670,3079,1
1330,670,4262,1
1331,671,1059,2
1332,672,1405,1
1333,672,4324,1
1334,673,649,1
1335,673,71,1
1336,674,2604,1
1337,674,2973,1
1338,675,3100,2
1339,675,3511,2
1340,676,1173,1
1341,677,983,1
1342,678,53,1
1343,679,1333,1
1344,679,4646,2
1345,680,1006,2
1346,681,2661,2
1347,681,4754,2
1348,682,457,1
1349,683,2833,1
1350,683,2645,1
1351,684,4250,2
1352,685,1129,1
1353,685,3280,1
1354,685,3459,1
1355,686,4490,1
1356,686,1707,1
1357,686,4805,1
1358,687,2078,1
1359,688,249,1
1360,688,4112,1
1361,688,2211,1
1362,689,3645,1
1363,689,2767,1
1364,690,2600,1
1365,690,4331,1
1366,690,3796,1
1367,691,4498,1
1368,691,1779,1
1369,691,4800,2
1370,692,636,1
1371,692,3809,1
1372,692,3141,1
1373,693,4826,1
1374,694,809,1
1375,694,1027,1
1376,695,2501,1
1377,696,1053,1
1378,696,3741,1
1379,697,1728,1
1380,698,2398,1
1381,699,3917,1
1382,699,1494,1
1383,699,450,2
1384,700,574,1
1385,701,573,1
1386,701,4292,1
1387,702,2148,1
1388,703,3205,1
1389,704,4575,1
1390,704,653,1
1391,705,4100,1
1392,706,4450,1
1393,707,1146,1
1394,707,1204,1
1395,707,1127,1
1396,708,716,1
1397,708,4390,1
1398,709,1097,1
1399,710,4357,1
1400,711,4109,4
1401,711,4105,1
1402,711,2639,1
1403,712,3861,1
1404,712,2172,2
1405,712,297,1
1406,713,3460,1
1407,713,713,1
1408,713,2380,1
1409,714,4138,1
1410,714,4231,1
1411,715,4418,1
1412,715,2558,1
1413,716,1012,1
1414,716,3265,1
1415,716,3597,2
1416,717,2047,1
1417,717,3060,1
1418,717,2377,2
1419,718,2501,2
1420,719,3199,1
1421,720,1972,1
1422,720,1073,1
1423,721,4331,2
1424,721,1608,1
1425,722,501,1
1426,722,668,1
1427,722,3219,2
1428,723,3184,1
1429,724,644,1
1430,724,3,1
1431,724,3681,1
1432,725,2767,2
1433,726,4015,1
1434,726,1464,1
1435,727,2965,1
1436,727,1521,1
1437,728,1565,1
1438,728,1157,1
1439,728,393,2
1440,729,544,1
1441,729,3764,1
1442,729,3735,1
1443,730,1601,2
1444,730,3551,1
1445,730,1180,1
1446,731,3493,1
1447,731,207,2
1448,732,748,2
1449,733,4546,1
1450,733,1116,1
1451,733,729,1
1452,734,3301,1
1453,734,2255,1
1454,735,3844,2
1455,735,375,1
1456,735,4118,1
1457,736,1218,1
1458,736,2275,2
1459,737,680,1
1460,738,4838,2
1461,738,357,2
1462,739,4515,1
1463,740,759,1
1464,741,2085,1
1465,742,831,1
1466,742,989,1
1467,743,1470,1
1468,743,4628,1
1469,744,2897,2
1470,744,227,1
1471,744,1715,1
1472,745,4102,2
1473,745,4771,1
1474,746,885,1
1475,747,252,1
1476,747,1098,1
1477,747,1479,1
1478,748,4921,1
1479,748,3889,1
1480,748,571,1
1481,749,3538,1
1482,749,3308,1
1483,750,2718,3
1484,750,1658,1
1485,751,1596,1
1486,751,1536,1
1487,751,1925,1
1488,752,2458,1
1489,752,4516,1
1490,753,3136,2
1491,753,2427,3
1492,753,50,1
1493,754,4820,1
1494,755,4992,1
1495,755,4179,1
1496,756,3119,1
1497,756,2279,2
1498,756,3559,1
1499,757,4985,1
1500,757,1373,1
1501,758,1140,1
1502,758,2986,2
1503,759,2645,2
1504,759,2740,1
1505,759,4070,2
1506,760,4184,1
1507,761,4407,1
1508,761,4952,1
1509,762,985,2
1510,762,4949,1
1511,763,4889,1
1512,763,3737,2
1513,764,879,1
1514,765,3051,1
1515,765,4280,1
1516,766,555,1
1517,766,111,1
1518,767,140,1
1519,768,1420,1
1520,769,4178,1
1521,769,659,1
1522,770,2329,1
1523,770,1274,2
1524,771,312,2
1525,771,4861,1
1526,772,151,1
