description_id,description
17,"From the author of When Bad Things Happen to Good People comes an inspiring new bestseller that puts human feelings of guilt and inadequacy in perspective - and teaches us how we can learn to accept ourselves and others even when we and they are less than perfect. How Good Do We Have to Be? is for everyone who experiences that sense of guilt and disappointment. Harold Kushner, writing with his customary generosity and wisdom, shows us how human life is too complex for anyone to live it without making mistakes, and why we need not fear the loss of God's love when we are less than perfect. Harold Kushner begins by offering a radically new interpretation of the story of Adam and Eve, which he sees as a tale of Paradise Outgrown rather than Paradise Lost: eating from the Tree of Knowledge was not an act of disobedience, but a brave step forward toward becoming human, complete with the richness of work, sexuality and child-rearing, and a sense of our mortality. Drawing on modern literature, psychology, theology,,and his own thirty years of experience as a congregational rabbi, Harold Kushner reveals how acceptance and forgiveness can change our relationships with the most important people in our lives and help us meet the bold and rewarding challenge of being human."
18,"The bestselling author of The Road from Coorain presents an extraordinarily powerful anthology of the autobiographical writings of 25 women, literary predecessors and contemporaries that include Jane Addams, Zora Neale Hurst, Harriet Jacobs, Ellen Glasgow, Maya Angelou, Sara Josephine Baker, Margaret Mead, Gloria Steinem, and Maxine Hong Kingston."
19,Draws on interviews and unpublished documents to re-create the life and times of the outspoken and influential labor leader and the drama of the labor movement in which he played a central role
20,"A cross-section of Americans--from an embittered Miss America to Arnold Schwarzenegger, from Jesse Helms to a KKK member, from businessmen and Brahmins to activists and immigrants--speak of their hopes, expectations, and disappointments"
21,"Even if you know Sandra Bernhard as an actress, singer, comedian, and performer, you're in for quite a shock with this, her second book. A mix of memoir, fiction, invented memoir, and fiction that rings with the truth, Love Love and Love charts the state of romance, sex, and relationships - the need to love and be loved - in several cities, and several sexes, around the world. The same biting wit, fragile irony, and arresting candor of Sandra's performances are all here, but Love Love and Love is also filled with an intimacy and an insight that are all new... and all Bernhard.Here are the stories of a relationship built on the weapon of romance; of an elusive girl, and the various drugs she gives and takes; of dreams and daydreams that melt into truth; of the touch of a lover's skin at the break of dawn; and of all the pain and cruelty that go along so well with the ecstasy we all want to possess. This is a book about relationships born of chance meetings on the street at night; about sexual obsessions, frayed emotions, and haunting memories of both the quick and the dead. Love Love and Love is by turns shocking and exhilarating, angry and passionate, analytical and sexy; it's all about that strange state of being that merges sensations only of the moment with an emotion that has existed since the birth of humankind.As Sandra herself notes: ""Love is the only shocking act left on the face of the earth."""
22,"On December 16, 1994, a bloodletting took place in the stylish sixth-floor boardroom at Saatchi & Saatchi Company PLC, once the world's largest advertising agency holding company. Maurice Saatchi, the 48 year-old chairman who co-founded the company in 1970 with his older brother Charles, was fired by the board of directors under threat by the firm's largest shareholders. Less than a month later, Maurice started a rival ad agency and quickly snapped up former Saatchi & Saatchi clients, most importantly British Airways. Kevin Goldman, the former daily advertising columnist for the Wall Street Journal, spoke to everyone connected with this headline-making saga -- including Maurice Saatchi and his reclusive brother Charles -- and witnessed important business meetings, including Maurice Saatchi's winning pitch to British Airways. Goldman traces every step the Saatchi brothers took, from their youth as Iraqi Jewish immigrants in North London to their business merger in 1970, when, with little more than sheer audacity, the opened an ad agency with a full-page announcement ad in the London Sunday Times. Through bold and brash actions, the agency began an acquisitions binge, taking over many of the ad industry's giants -- including Ted Bates, Backer & Spielvogel, Dancer Fitzgerald Sample, and Garland-Compton -- to become the number one ad company in the world. But, once they acquired a company, the brothers lost interest, often refusing to meet with its executives again. This disdain would come back to haunt them. Also chronicled is the brothers' rich lifestyle, which critics claim was funded by the company. This tale features a rich cast of supporting players: Jeremy Sinclair, a creative advertising genius who was fiercely loyal to the brothers, was one of the executives who resigned after Maurice was fired. Bill Muirhead, another loyalist, was responsible for keeping clients happy. Robert Louis-Dreyfus, a globe-trotting native of France, was brought in by the Saatchis in 1989 when the company was teetering on the edge of bankruptcy. Louis-Dreyfus brought in Charles Scott, a self-described numbers cruncher uncomfortable with the glitzy world of advertising, to help sort out the company's complex finances. And leading the anti-Maurice movement was David Herro, a thirty-three-year-old American money manager whose group owned approximately 10 percent of Saatchi stock. Built into the Saatchi story is the bigger picture of the dramatic changes in advertising in the 1980s, such as the merger mania and ad agency consolidations that swept Madison Avenue, including the British takeover of major agencies. The story of the decline and crash of Saatchi & Saatchi is a universal tale of corporate greed and ineffective management. It is the story of an ugly, publicly fought civil war in an industry that is supposed to know the steep price paid for an image run amok."
23,"Practical in approach and up to date in content, Panic Disorder and Its Treatment provides a clear and clinically relevant summary of the current knowledge on this challenging illness, covering symptoms, care, cost, comorbidities, and quality of life. Contains algorithms and tables offering at-a-glance drug treatment options and an appendix with measures for assessing symptom severity and therapeutic response! Written by leading authorities on the etiology, course, and management of this condition, Panic Disorder and Its Treatmentpromotes improved recognition of symptoms in pychiatric and nonpsychiatric settings, including the primary care physician's office or the emergency room reviews evidence from numerous sources on the prognosis of panic disorder, emphasizing the potential for chronicity and recurrence examines the latest advances implicating neurochemical, neurophysiological, and functional neuroanatomical abnormalities in the pathogenesis of panic disorder analyzes risk factors for the illness, including genetics, temperment, developmental experiences, and life events explores available pharmacotherapies for panic disorders, including selective serotonin-reuptake inhibitors investigates panic attacks and panic disorder from a cognitive-behavioral perspective, detailing specific therapies targeted to control physical sensations presents clinical strategies for treatment-refractory patients, assuring optimal diagnostic and therapeutic efforts for nonresponders and more! Panic Disorder and Its Treatment serves as insightful reading for psychiatrists and behavioral scientists, clinical psychopharmacologists, neuropsychiatrists, clinical psychologists, clinical social workers, and medical students, residents, and fellows in these disciplines. It is also useful for primary care physicians, including internists, family doctors, and generalists, as well as emergency room staff, who are often the first health care professionals to evaluate the patient."
24,"This detailed biography concentrates on the domestic life of the monarch, foreign affairs in which he was involved and his influence on religion. Bibliogs"
25,"The award-winning author of The Spiritual Life of Children shares his thoughts on how to teach morality to children, defining moral intelligence and explaining how to foster a child's conscience and spiritual growth. 75,000 first printing. Tour."
26,"Readings from  Scientific American  on life in extreme environments. Annotation copyright Book News, Inc. Portland, Or."
27,"Every couple has a restless aching, not just to know God individually but to experience God together. But how? How do you really allow God to fill the soul of your marriage? Becoming Soul Mates gives you a road map for cultivating rich spiritual intimacy in your relationship. Written by the creators of the dynamic Saving Your Marriage Before It Starts book and program, becoming Soul Mates is a unique and insightful devotional that helps you dig deep for a strong spiritual foundation in your marriage. Fifty-two practical weekly devotions help you and your partner cross the hurdles of marriage to grow closer than you&apos;ve ever imagined. In each session, you&apos;ll find: - An insightful devotion that focuses on marriage-related topics - A key passage of Scripture - Questions that will spark discussions on crucial issues - Insights from real-life soul mates like Pat and Shirley Boone, Bill and Vonette Bright, Norm and Joyce Wright, and John and Barbi Townsend - Questions that will help you and your partner better understand each other&apos;s unique needs and remember them in prayer during the week - A brief prayer that will help you both draw closer together and close to God. Becoming Soul Mates is a valuable resource for mining the rich potential of your marriage. Its principles, proven in the Parrotts&apos; own relationship, will help you make your journey as a couple all God intends it to be. With the strength that comes from a deeply shared spiritual intimacy, your marriage can flourish in the midst of life&apos;s challenges. Start building on the closeness you&apos;ve got today -- and reap the rewards of a deeper, more satisfying relationship in the years ahead."
28,"A therapist draws on the world's religions, music, art, and his own experiences with patients to examine the connections between spirituality and the problems of individuals and society. Reprint. 150,000 first printing. $200,000 ad/promo."
29,"""The chasm is where high-tech fortunes are lost... the tornado is where they are made.""-- Steve Jobs, Founder & CEO, Next Computer, Inc.    Now, in this fascinating sequel, Moore shows how to capitalize on the profit-rich niches and hyper-growth markets beyond the chasm. Continuing to chart the impact of the Technology Adoption Life Cycle, he explores its effects not just on marketing but on overall business planning, especially strategic partnerships, competitive advantage, positioning and organizational leadership. Moore's most startling lesson is: ""As markets move from stage to stage in the Life Cycle, the winning strategy does not just change -- it actually reverses the prior strategy. The very skills that you've just perfected become your biggest liabilities; and if you can't put them aside to acquire new ones, then you're in for tough times."" As challenging as this lesson is to apply, Moore leads the way. Using actual examples of cutting-edge firms, he applies the Life Cycle model to all aspects of managing a market-focused business strategy, including how to manage people effectively through each phase of the cycle. There are significant management implications: Chasm-crossers who love the customer intimacy of niches may rebel against the depersonalizing power of the tornado; tornado managers who relish the gales of hyper-growth may resist the inevitable return to the niche, in the guise of mass customization, once the rush to the new paradigm subsides. All industries relying on technology -- not just computer hardware, software and telecommunications, but entertainment, publishing, broadcasting, banking, insurance, health care, aerospace, defense, utilities, pharmaceuticals and retail -- must master Moore's lessons to see the year 2000. If you are marketing technology-based products or managing the people who do, then you will find yourself Inside the Tornado."
30,Tells the story of a young girl and her family's country life in Mississippi during the years prior to World War I
31,"When it comes to your new baby, everyone from Dr. Spock to Dr. Brazleton has an armful of advice. But no one's delivering any tips on how you can care for yourself. Now, four-time delivery room veteran Vicki Iovine answers your questions, calms your fears, and cracks you up as only a girlfriend can, with straight advice and hilarious observations on... ""Baby euphoria"": Is it a mind-altering drug?""Husband? What Husband?"": Taking care of the big baby, as well as the little baby""I Want My Old Body Back!"": What you can fix and what you can't""The Droning Phenomenon"": The inability to discuss anything but your baby for more than thirty seconds""Do I Have to Become Carol Brady?"": Conquering your fear of being a less-than-perfect mother""Competitive Mothering"": Coping with know-it-alls, finger-pointers, and others who try to ""Out-Mom"" youNOTE: Pausing to read this book may be the only selfish thing you do all year, since you'll have time for nothing else!"
32,"It is the story of how the world's most beloved private detective, Sherlock Holmes, and Watson traveled to Minnesota in 1894 to find and stop a murderous arsonist, known only as the Red Demon, who is threatening both Hill and his Great Northern Railway. Homes's pursuit of this malignant and cunning villain presents the great man ""with the most remarkable case of his celebrated career.""In Minnesota, Holmes comes face-to-face with all manner of frontier characters, including two-fisted railroad men, rough-and-tumble lumberjacks, a one-eyed teamster, and an unsavory town marshal. But he also encounters the proprietress of the North Woods' most opulent sporting house, Mary Robinson, a woman as clever as she is beautiful. In response to a churlish remark from Dr. Watson about the morality of her establishment, she replies: ""Morality is a matter of power, nothing more and nothing less. The rich impose it on the poor, men impose it on women, and the forces of reaction impose it upon those who seek a better world.""Needless to say, Holmes becomes especially attentive to this suspect's articulate charm. But charm gives way to terror in the exciting climax of the tale, a chase on the rails that ends with Holmes and the Red Demon squared off on a lonely bridge in a fiery circle of death. ""Never,"" says Watson, ""was Holmes more magnificent than at that moment."""
33,Examines the adventures of the explorers during the seventeenth through the nineteenth centuries and shows how the impetus to explore transcended national interests and imperialist ambitions
34,Describes how decentralization and entrepreneurship can revitalize government and outlines ten principles guiding an entrepreneurial public organization
35,"Featuring contributions from such noted writers as Pearl Cleage, Omar Tyree, Timmothy McCann, and Earl Sewell, a dramatically rendered anthology of stories, drawn from African, African-American, and Biblical proverbs, is filled with an abundance of wit, inspiration, and wisdom."
36,Describes how the new information society is altering the nature of the workplace and how some corporations are responding
37,"This is a novel about friendship, a novel that spans the decades that changed America forever. Orson is a young boy whose mother works at a U.S. Army base in Germany in the 1950s. There, he becomes a fan of a G.I. stationed at the base, one Elvis Presley, whose music is played over and over on the radio. When Orson is caught stealing recordings of Elvis's tunes from the PX, the attendant publicity catches the star's attention, and he comes to visit his young fan. Thus begins a lifelong friendship. As Elvis's career rockets ever higher and his behavior becomes ever more erratic, the two share many adventures. The sixties explode, and Elvis becomes the icon of the nation, while Orson, a college demonstrator, drifts away from regular life while looking for something of substance to believe in. Each man is an emblem of his time, as social conventions crumble, barriers fall, and the cultural landscape changes forever.A panorama of change and dissent, of the ability of friends to stay true despite distance and time, Elvis in the Morning portrays a nation in change and the effects of celebrity on innocence."
38,"A collection of 250 appetizing, meatless recipes provides a plan that lowers cholesterol and reduces the risk of heart disease, cancer, and diabetes by cutting down on fat intake without compromising on taste and variety. 35,000 first printing. Tour."
39,Takes a close-up look at the remarkable physiology and behavior of birds
40,"The #1 national bestseller, now a major motion picture, 21—the amazing inside story about a gambling ring of M.I.T. students who beat the system in Vegas—and lived to tell how.Robin Hood meets the Rat Pack when the best and the brightest of M.I.T.’s math students and engineers take up blackjack under the guidance of an eccentric mastermind. Their small blackjack club develops from an experiment in counting cards on M.I.T.’s campus into a ring of card savants with a system for playing large and winning big. In less than two years they take some of the world’s most sophisticated casinos for more than three million dollars. But their success also brings with it the formidable ire of casino owners and launches them into the seedy underworld of corporate Vegas with its private investigators and other violent heavies."
41,"From ""queen bees"" to ""gamma girls"" to the ""odd girl out,"" adolescent girls are all over the news. But whether a girl is popular or struggling to fit in, outgoing or reserved, her mother worries about how she is coping with her new, often scary, teenage social world: Who is she with, what is she really doing, is she safe and, of course, is she happy? In this essential survival guide, Roni Cohen-Sandler teaches parents to ""use their BRAIN""—Be flexible, Respectful, Attuned, Involved, and Non-controlling—to build trust and help their daughters navigate these complex social waters. Addressing such issues as popularity, boyfriends, parties and partying, discipline, privacy, body image, and identity, Cohen-Sandler provides a new model for parenting adolescent daughters for today's generation of mothers."
42,"The Quotable Ronald Reagan presents the best of the Great Communicator, with hundreds of quotations from his public life. Following Reagan from his October 1964 nationally televised speech on behalf of Barry Goldwater's presidential candidacy to his valedictory letter of November 1994, telling the country that he had been diagnosed with Alzheimer's disease, The Quotable Ronald Reagan is the essential collection of this speaker's words."
43,"Explores leadership as an art that must be felt, experienced, and created and discusses how to apply leadership abilities and a sense of integrity to business management situations"
44,"A theater of voices of men and women, the dead and the living, over time and across continents, the poems of Dark Fields of the Republic take conversations, imaginary and real, actions taken for better or worse, out of histories and songs to extend the poet's reach of witness and power of connection--and then invites the reader to participate."
45,"Provides information the history, legal aspects, rationales, and facilitation of inclusive education."
46,"This handbook explains how to correct, tighten, clarify, and punctuate prose and includes an alphabetical listing of 1,500 recommendations for commonly occurring editorial cuts, changes, and comparisons"
47,"This collection of tales was originally published as An Illustrated Guide to Ghosts and Mysterious Occurences in the Old North State. To her group of classic stories, Mrs. Roberts has added three new tales about the Carolina coastal areas. The mountains, Piedmont, eastern Carolina, and the Outer Banks all provide settings for the unique and haunting accounts found in this book. Six of the stories take place in the Outer Banks—a particularly inspiring location, and the perfect place to meet the ghost on Blackbeard's last voyage."
48,"Balkan Odyssey is David Owen's personal chronicle of the struggle to bring an end to the wars in the former Yugoslavia, wars marked by brutal campaigns of ethnic cleansing, war crimes, ultranationalism, religious bigotry, and racism. It offers a rare, unvarnished look inside the realm of international diplomacy. Owen describes the consequences of the Clinton Administration's opposition to the Vance-Owen peace plan. He recounts how other peace settlements were hindered by divisions between the United States, Europe, and Russia as well as the United Nations and NATO, and by the bad faith of warring leaders who believed they had more to gain through war than peace. Owen also gives an account of the NATO assault on Bosnian Serb positions and the latest attempts at reaching a settlement.Written with candor and reason, Balkan Odyssey is a day-to-day account of the traps and tangles of diplomacy and the enduring dangers of policy that is dictated by rhetoric instead of reality. It is an essential work for understanding the gravest threat to world peace since the height of the Cold War."
49,"Addresses issues of death particularly affecting teenagers, such as normal reactions to the shock of death, how grief can alter relationships, how to work through grief, and more. By the author of Living When a Loved One Has Died. Simultaneous."
50,"Recent biographies of Thomas Jefferson have stressed the sphinxlike puzzles of his character—famous champion of freedom yet lifelong slaveholder, foe of miscegenation yet secret lover of a beautiful slave for 30 years, aristocrat yet fervent advocate of government by the people. E. M. Halliday's absorbing and lucid portrait recognizes these and other puzzles about this great founder, but shows us how understandable they can be in light of his personal and social circumstances. Halliday takes readers deep into Jefferson's private life—exploring his childhood, his literary taste, and his unconventional religious thinking and moral philosophy. Here, too, are his adamant opinions on women, the evolution of his ideas on democracy and freedom of expression, and fresh insights into his relationship with Sally Hemings."
51,"Susan Powter answers ""What's for breakfast? What's for dinner? What's for lunch? What can I snack on?"" with 100 of the best tasting, high-volume, low-fat recipes ever!Something sweet. Something chewy. Something for those nights when you didn't get to the grocery store or it's dinnertime and you don't have a clue what to cook. These recipes have all been tested by moms and kids for the whole family. They're all low-fat, quick, easy, and taste soooooooo good. Everything you need is right here - healthy, hearty, great recipes so you'll always have an answer when the kids say, ""Hey, Mom! I'm hungry!"""
52,"Last spring Billy Bean, the only living openly gay former major leaguer, gained national attention with his breakthrough memoir, Going the Other Way?an unprecedented chronicle of America’s national pastime that went on to sell more than 25,000 copies. Bean brings us inside the clubhouse and onto the playing field, offering dead-on insight into the game and the physical and emotional demands it makes on players. Bean faced an agonizing choice, in secrecy and solitude, between continuing to play the game he loved and the honesty of a loving relationship. By turns heartbreaking and farcical, ruminative and uncensored, the book culminates in a respectful, deeply felt appeal to Major League Baseball and other professional team sports to live up to their promise of equality and opportunity. A testament to the power of the single voice, Going the Other Way is an exemplary American tale that points the way toward a more perfect game, one in which all men and women can pursue their athletic dreams free of prejudice and discrimination. An eight-page photo insert is featured in this New York Times bestseller."
53,"Felix Bonham-Carter, a fugitive millionaire swindler, escapes to Hong Kong--his pursuers believing him dead--but the shadowy figure, Majendie, knows who he is, and Felix becomes entangled in a plot to deflate the dollar and disrupt the world economy"
54,"""Sinjin the badly burned black cat.  .  .who survived to welcome others home Victor the abandoned Australian Shepherd mix.  .  . the capo among dogs Tyson and Tommy, two tiny black kittens.  .  .who had something to teach us allDiscover Best Friends A Place Where Every Animal Is Safe.  .  .Loved.  .  .And Never, Ever KilledIn the summer of 1982, a group of young men and women pooled every penny they had and bought 3,000 acres of high desert called Angel Canyon, Utah.  It was to become the most famous ""no--kill"" animal sanctuary in the world.  .  .a haven for over 2000 furry and feathered friends including stiff--legged Benton who is ""chairpurrson"" of the TLC club.  .  .the infamous Goatie, comforter of horses.  .  .Baa Baa Ram Das, the sheep who teaches lessons.  .  .and Amra, the gigantic Malamute who is sheriff of Dogtown backed up by his deputy Rhonda, the tiny terrier who took one look at him and fell in love."
55,An allegorica tale about a quiet and unassuming young man whose powerful presence changes the lives of his small town neighbors
56,"In this eighth and final volume in his Pulitzer Prize­winning Children of Crisis series, Coles examines the religious and spiritual lives of children. By using children's own words and pictures, Coles presents their deepest feelings."
